date,product_category,reseller_name,reseller,sales,incident_start_date,incident_end_date,incident_type,incident_days,is_holiday,holiday,release_type,is_release,is_incident
2022-09-28,PO,Port,Port,836,2022-09-28,2022-10-02,Ausfall,1,,,,,1
2022-10-11,PO,Port,Port,600,2022-10-11,2022-10-11,Ausfall,1,,,,,1
2022-10-23,PO,Port,Port,391,2022-10-23,2022-10-23,Ausfall,1,,,Patch-Pool2 T-Systems,1,1
2022-12-19,PO,Port,Port,676,2022-12-19,2022-12-19,Ausfall,1,,,,,1
2023-04-29,PO,Port,Port,383,2023-04-29,2023-04-29,Ausfall,1,,,,,1
2023-05-13,PO,Port,Port,271,2023-05-13,2023-05-13,Ausfall,1,,,,,1
2022-01-08,PO,Port,Port,831,2022-01-08,2022-01-08,Ausfall ,1,,,,,1
2022-01-03,PO,Port,Port,942,2022-01-03,2022-01-03,Einschränkung,1,,,,,1
2022-01-05,PO,Port,Port,855,2022-01-05,2022-01-05,Einschränkung,1,,,,,1
2022-01-15,PO,Port,Port,565,2022-01-15,2022-01-15,Einschränkung,1,,,Release R22-1,1,1
2022-01-19,PO,Port,Port,898,2022-01-19,2022-01-23,Einschränkung,1,,,,,1
2022-02-11,PO,Port,Port,732,2022-02-11,2022-02-11,Einschränkung,1,,,,,1
2022-02-16,PO,Port,Port,694,2022-02-16,2022-02-16,Einschränkung,1,,,,,1
2022-02-18,PO,Port,Port,564,2022-02-18,2022-02-18,Einschränkung,1,,,,,1
2022-02-21,PO,Port,Port,1283,2022-02-21,2022-02-21,Einschränkung,1,,,Patch-Pool1 (FirmWare),1,1
2022-02-25,PO,Port,Port,583,2022-02-25,2022-02-25,Einschränkung,1,,,,,1
2022-03-04,PO,Port,Port,493,2022-03-04,2022-03-04,Einschränkung,1,,,,,1
2022-03-10,PO,Port,Port,1024,2022-03-10,2022-03-13,Einschränkung,1,,,,,1
2022-03-11,PO,Port,Port,759,2022-03-11,2022-03-13,Einschränkung,1,,,,,1
2022-03-16,PO,Port,Port,538,2022-03-16,2022-03-20,Einschränkung,1,,,,,1
2022-03-23,PO,Port,Port,522,2022-03-23,2022-03-27,Einschränkung,1,,,,,1
2022-03-24,PO,Port,Port,465,2022-03-24,2022-03-27,Einschränkung,1,,,,,1
2022-04-07,PO,Port,Port,507,2022-04-07,2022-04-08,Einschränkung,1,,,,,1
2022-05-06,PO,Port,Port,642,2022-05-06,2022-05-06,Einschränkung,1,,,,,1
2022-05-10,PO,Port,Port,815,2022-05-10,2022-05-10,Einschränkung,1,,,,,1
2022-05-11,PO,Port,Port,896,2022-05-11,2022-05-11,Einschränkung,1,,,,,1
2022-05-16,PO,Port,Port,864,2022-05-16,2022-05-16,Einschränkung,1,,,,,1
2022-05-27,PO,Port,Port,744,2022-05-27,2022-05-27,Einschränkung,1,,,,,1
2022-05-31,PO,Port,Port,836,2022-05-31,2022-05-31,Einschränkung,1,,,,,1
2022-06-07,PO,Port,Port,797,2022-06-07,2022-06-08,Einschränkung,1,,,,,1
2022-06-17,PO,Port,Port,524,2022-06-17,2022-06-17,Einschränkung,1,,,,,1
2022-06-28,PO,Port,Port,699,2022-06-28,2022-06-28,Einschränkung,1,,,,,1
2022-07-23,PO,Port,Port,449,2022-07-23,2022-07-23,Einschränkung,1,,,Release R22-7,1,1
2022-08-06,PO,Port,Port,479,2022-08-06,2022-08-06,Einschränkung,1,,,,,1
2022-08-12,PO,Port,Port,555,2022-08-12,2022-08-12,Einschränkung,1,,,,,1
2022-08-23,PO,Port,Port,797,2022-08-23,2022-08-24,Einschränkung,1,,,,,1
2022-09-06,PO,Port,Port,829,2022-09-06,2022-09-06,Einschränkung,1,,,,,1
2022-09-20,PO,Port,Port,760,2022-09-20,2022-09-20,Einschränkung,1,,,,,1
2022-09-22,PO,Port,Port,704,2022-09-22,2022-09-22,Einschränkung,1,,,,,1
2022-09-23,PO,Port,Port,569,2022-09-23,2022-09-23,Einschränkung,1,,,,,1
2022-10-27,PO,Port,Port,553,2022-10-27,2022-10-27,Einschränkung,1,,,,,1
2022-11-11,PO,Port,Port,497,2022-11-11,2022-11-11,Einschränkung,1,,,,,1
2022-11-16,PO,Port,Port,728,2022-11-16,2022-11-17,Einschränkung,1,,,,,1
2022-11-18,PO,Port,Port,791,2022-11-18,2022-11-18,Einschränkung,1,,,,,1
2022-11-19,PO,Port,Port,722,2022-11-19,2022-11-19,Einschränkung,1,,,,,1
2022-11-24,PO,Port,Port,490,2022-11-24,2022-11-24,Einschränkung,1,,,,,1
2022-12-01,PO,Port,Port,664,2022-12-01,2022-12-01,Einschränkung,1,,,,,1
2022-12-02,PO,Port,Port,686,2022-12-02,2022-12-02,Einschränkung,1,,,,,1
2022-12-07,PO,Port,Port,689,2022-12-07,2022-12-07,Einschränkung,1,,,,,1
2022-12-13,PO,Port,Port,737,2022-12-13,2022-12-14,Einschränkung,1,,,,,1
2022-12-20,PO,Port,Port,575,2022-12-20,2022-12-20,Einschränkung,1,,,,,1
